Danh mục,Criteria Estimated,Risk Estimated
Đầu tư nhà phố,7 - 14% (1 năm),10 - 15% (1 năm)
Đầu tư biệt thự,5 - 10% (1 năm),15 - 25% (1 năm)
Đầu tư căn hộ cao cấp,7 - 12% (1 năm),12 - 20% (1 năm)
Đầu tư căn hộ cho thuê,6 - 12% (1 năm),10 - 20% (1 năm)
Đầu tư nhà xưởng,8 - 15% (1 năm),15 - 30% (1 năm)
Đầu tư cổ phiếu tăng trưởng,8 - 15% (1 năm),12 - 20% (1 năm)
Đầu tư cổ phiếu giá trị,5 - 10% (1 năm),15 - 25% (1 năm)
Đầu tư cổ phiếu cổ tức cao,6 - 10% (1 năm),12 - 20% (1 năm)
Đầu tư cổ phiếu penny stock,20 - 50% (1 năm),30 - 50% (1 năm)
Đầu tư cổ phiếu blue-chip,12 - 20% (1 năm),15 - 25% (1 năm)
Đầu tư cổ phiếu ngành tài chính,10 - 15% (1 năm),12 - 18% (1 năm)
Đầu tư cổ phiếu ngành năng lượng,8 - 12% (1 năm),12 - 18% (1 năm)
Đầu tư cổ phiếu ngành bất động sản,6 - 12% (1 năm),10 - 15% (1 năm)
Đầu tư cổ phiếu ngành công nghệ,7 - 15% (1 năm),15 - 25% (1 năm)
Đầu tư cổ phiếu ngành tiêu dùng,5 - 10% (1 năm),12 - 20% (1 năm)
Đầu tư quỹ thị trường mới nổi,8 - 15% (1 năm),15 - 25% (1 năm)
Đầu tư quỹ thị trường phát triển,6 - 12% (1 năm),10 - 20% (1 năm)
Đầu tư vào startup công nghệ,10 - 20% (1 năm),12 - 25% (1 năm)
Đầu tư vào startup dịch vụ,8 - 15% (1 năm),15 - 25% (1 năm)
Đầu tư vào startup giáo dục,5 - 12% (1 năm),12 - 18% (1 năm)
Đầu tư vào startup y tế,10 - 20% (1 năm),15 - 25% (1 năm)
Đầu tư vào startup tài chính,8 - 15% (1 năm),12 - 18% (1 năm)
Đầu tư kim cương,10 - 20% (1 năm),15 - 25% (1 năm)
Đầu tư bạc,8 - 12% (1 năm),12 - 20% (1 năm)
Đầu tư bạch kim,8 - 15% (1 năm),10 - 15% (1 năm)
Đầu tư đồng,6 - 12% (1 năm),10 - 15% (1 năm)
Đầu tư dầu mỏ,10 - 20% (1 năm),20 - 30% (1 năm)
Đầu tư cà phê,5 - 10% (1 năm),10 - 20% (1 năm)
Đầu tư lúa mì,6 - 12% (1 năm),12 - 20% (1 năm)
Đầu tư cao su,7 - 12% (1 năm),10 - 18% (1 năm)
Đầu tư trái phiếu đô thị,6 - 12% (1 năm),8 - 15% (1 năm)
Đầu tư trái phiếu quốc tế,7 - 12% (1 năm),10 - 18% (1 năm)
Đầu tư quỹ môi trường,10 - 20% (1 năm),12 - 20% (1 năm)
Đầu tư quỹ esg,8 - 15% (1 năm),12 - 18% (1 năm)
Đầu tư cổ phiếu thị trường mới nổi,7 - 12% (1 năm),10 - 18% (1 năm)
Đầu tư cổ phiếu thị trường biên giới,5 - 10% (1 năm),8 - 15% (1 năm)
Đầu tư vàng vật chất,5 - 8% (1 năm),10 - 15% (1 năm)
Đầu tư vàng tài khoản,5 - 10% (1 năm),10 - 15% (1 năm)
Đầu tư quỹ etf sinh thái,6 - 12% (1 năm),12 - 20% (1 năm)
Đầu tư quỹ etf tài chính xanh,8 - 12% (1 năm),10 - 20% (1 năm)
Đầu tư vào thực tế ảo,15 - 30% (1 năm),20 - 40% (1 năm)
Đầu tư vào dược lý học,10 - 20% (1 năm),15 - 30% (1 năm)
